,date,open,high,low,close,volume,feature_SMA,feature_MiddleBand,feature_UpperBand,feature_LowerBand,feature_RSI,feature_MACD,feature_open,feature_high,feature_low,feature_close,feature_volume
1232,2023-10-03 08:49:00,27611.32,27619.99,27611.31,27619.98,6.25,27625.72,27608.8,27656.94,27560.67,49.19,9.778209668911586,27611.32,27619.99,27611.31,27619.98,6.25
1233,2023-10-03 08:50:00,27619.98,27619.99,27618.61,27618.62,11.12,27625.2,27610.14,27655.47,27564.8,48.15,9.345486554033414,27619.98,27619.99,27618.61,27618.62,11.12
1234,2023-10-03 08:51:00,27618.62,27618.62,27610.0,27610.01,6.75,27624.47,27611.27,27653.54,27568.99,42.06,8.590799664016231,27618.62,27618.62,27610.0,27610.01,6.75
1235,2023-10-03 08:52:00,27610.0,27610.01,27610.0,27610.0,10.08,27623.88,27612.07,27652.61,27571.53,42.06,7.895092799775739,27610.0,27610.01,27610.0,27610.0,10.08
1236,2023-10-03 08:53:00,27610.0,27610.01,27605.0,27605.85,15.96,27623.06,27612.91,27651.07,27574.75,39.21,7.088666490821197,27610.0,27610.01,27605.0,27605.85,15.96
1237,2023-10-03 08:54:00,27605.85,27607.79,27605.85,27607.78,5.32,27622.17,27613.57,27650.13,27577.02,41.23,6.428627531036909,27605.85,27607.79,27605.85,27607.78,5.32
1238,2023-10-03 08:55:00,27607.78,27607.79,27607.78,27607.79,9.65,27621.16,27614.25,27649.03,27579.46,41.24,5.824009915690112,27607.78,27607.79,27607.78,27607.79,9.65
1239,2023-10-03 08:56:00,27607.79,27607.79,27607.78,27607.78,4.57,27619.95,27614.92,27647.78,27582.07,41.23,5.269580554144341,27607.79,27607.79,27607.78,27607.78,4.57
1240,2023-10-03 08:57:00,27607.78,27607.79,27590.0,27592.6,29.01,27618.09,27615.1,27647.37,27582.82,30.8,4.15627131950896,27607.78,27607.79,27590.0,27592.6,29.01
1241,2023-10-03 08:58:00,27592.61,27595.14,27590.92,27595.13,10.01,27616.18,27615.22,27647.13,27583.3,33.84,3.255733563029935,27592.61,27595.14,27590.92,27595.13,10.01
1242,2023-10-03 08:59:00,27595.14,27598.48,27595.13,27595.14,10.18,27615.49,27615.28,27647.02,27583.53,33.86,2.446378823467967,27595.14,27598.48,27595.13,27595.14,10.18
1243,2023-10-03 09:00:00,27595.14,27607.72,27595.13,27607.72,15.38,27615.8,27615.66,27646.55,27584.77,47.51,2.221749029831699,27595.14,27607.72,27595.13,27607.72,15.38
1244,2023-10-03 09:01:00,27607.71,27607.72,27601.21,27602.93,17.91,27615.79,27616.01,27645.87,27586.15,43.76,1.8246942017831316,27607.71,27607.72,27601.21,27602.93,17.91
1245,2023-10-03 09:02:00,27602.93,27604.65,27600.08,27604.64,20.91,27615.3,27616.31,27645.39,27587.23,45.44,1.534763146082696,27602.93,27604.65,27600.08,27604.64,20.91
1246,2023-10-03 09:03:00,27604.65,27604.65,27601.04,27601.05,12.42,27614.1,27616.53,27644.95,27588.11,42.53,1.1294832243547717,27604.65,27604.65,27601.04,27601.05,12.42
1247,2023-10-03 09:04:00,27601.04,27610.0,27601.04,27609.99,16.77,27613.3,27616.93,27644.37,27589.49,51.04,1.122597700697952,27601.04,27610.0,27601.04,27609.99,16.77
1248,2023-10-03 09:05:00,27610.0,27610.0,27607.93,27607.94,9.2,27612.28,27617.19,27644.02,27590.36,49.22,1.0315125694178278,27610.0,27610.0,27607.93,27607.94,9.2
1249,2023-10-03 09:06:00,27607.93,27607.94,27607.93,27607.93,4.24,27611.21,27617.43,27643.7,27591.15,49.21,0.9472103656298714,27607.93,27607.94,27607.93,27607.93,4.24
1250,2023-10-03 09:07:00,27607.94,27610.94,27607.93,27607.93,13.72,27610.15,27617.6,27643.51,27591.68,49.21,0.8695764683398011,27607.94,27610.94,27607.93,27607.93,13.72
1251,2023-10-03 09:08:00,27607.93,27611.43,27607.93,27611.42,4.74,27609.27,27617.57,27643.5,27591.63,52.92,0.9372934130042267,27607.93,27611.43,27607.93,27611.42,4.74
1252,2023-10-03 09:09:00,27611.42,27613.25,27611.42,27613.25,6.65,27608.63,27617.56,27643.5,27591.62,54.81,1.067807354098477,27611.42,27613.25,27611.42,27613.25,6.65
1253,2023-10-03 09:10:00,27613.24,27613.25,27611.42,27611.42,16.31,27607.77,27617.45,27643.45,27591.46,52.51,1.1077861069934443,27613.24,27613.25,27611.42,27611.42,16.31
1254,2023-10-03 09:11:00,27611.42,27611.43,27611.42,27611.42,16.16,27607.64,27617.22,27643.21,27591.22,52.51,1.140166690456681,27611.42,27611.43,27611.42,27611.42,16.16
1255,2023-10-03 09:12:00,27611.43,27614.58,27611.42,27614.57,7.9,27607.77,27617.0,27642.89,27591.1,56.27,1.2913421188095526,27611.43,27614.58,27611.42,27614.57,7.9
1256,2023-10-03 09:13:00,27614.57,27614.58,27607.53,27607.53,20.87,27607.62,27616.75,27642.76,27590.73,47.17,1.141243519166892,27614.57,27614.58,27607.53,27607.53,20.87
1257,2023-10-03 09:14:00,27607.54,27607.54,27605.66,27605.66,13.28,27607.04,27616.38,27642.5,27590.26,45.05,0.92998424108373,27607.54,27607.54,27605.66,27605.66,13.28
1258,2023-10-03 09:15:00,27605.67,27606.86,27605.66,27605.66,5.57,27606.53,27615.86,27641.77,27589.95,45.05,0.7395486883651756,27605.67,27606.86,27605.66,27605.66,5.57
1259,2023-10-03 09:16:00,27605.66,27606.38,27605.66,27606.37,6.17,27606.38,27615.42,27641.22,27589.63,46.14,0.5964847535069566,27605.66,27606.38,27605.66,27606.37,6.17
1260,2023-10-03 09:17:00,27606.38,27615.23,27606.37,27615.23,10.03,27606.59,27615.24,27640.89,27589.58,57.6,0.821007738039043,27606.38,27615.23,27606.37,27615.23,10.03
1261,2023-10-03 09:18:00,27615.22,27615.23,27615.22,27615.22,3.63,27606.96,27615.01,27640.47,27589.56,57.58,1.0178458105037862,27615.22,27615.23,27615.22,27615.22,3.63
1262,2023-10-03 09:19:00,27615.22,27619.18,27615.22,27619.17,6.63,27607.42,27614.8,27639.92,27589.68,61.88,1.3474629979646124,27615.22,27619.18,27615.22,27619.17,6.63
1263,2023-10-03 09:20:00,27619.18,27619.18,27612.83,27612.84,12.68,27607.62,27614.39,27638.95,27589.83,52.57,1.3841384950901556,27619.18,27619.18,27612.83,27612.84,12.68
1264,2023-10-03 09:21:00,27612.83,27614.44,27603.67,27603.68,11.64,27607.46,27613.7,27637.47,27589.93,42.47,1.047439397101698,27612.83,27614.44,27603.67,27603.68,11.64
1265,2023-10-03 09:22:00,27603.67,27603.68,27603.67,27603.68,3.85,27607.9,27612.99,27635.76,27590.23,42.47,0.7451671521776007,27603.67,27603.68,27603.67,27603.68,3.85
1266,2023-10-03 09:23:00,27603.67,27603.68,27601.39,27601.4,6.69,27608.15,27612.17,27633.47,27590.86,40.19,0.38341755796500365,27603.67,27603.68,27601.39,27601.4,6.69
1267,2023-10-03 09:24:00,27601.39,27601.4,27584.11,27584.11,14.48,27607.71,27611.6,27634.33,27588.87,27.81,-0.6288596242338826,27601.39,27601.4,27584.11,27584.11,14.48
1268,2023-10-03 09:25:00,27584.11,27584.12,27577.58,27577.58,12.16,27606.5,27611.15,27635.63,27586.67,24.68,-1.7873257815554098,27584.11,27584.12,27577.58,27577.58,12.16
1269,2023-10-03 09:26:00,27577.58,27583.35,27575.04,27575.04,16.7,27605.39,27610.59,27637.03,27584.14,23.55,-2.913291922028293,27577.58,27583.35,27575.04,27575.04,16.7
1270,2023-10-03 09:27:00,27575.05,27575.05,27565.38,27565.76,26.91,27603.83,27609.57,27638.83,27580.31,19.93,-4.2759931867112755,27575.05,27575.05,27565.38,27565.76,26.91
1271,2023-10-03 09:28:00,27565.77,27567.74,27562.16,27562.51,13.56,27602.29,27608.2,27639.69,27576.71,18.82,-5.604730512623064,27565.77,27567.74,27562.16,27562.51,13.56
1272,2023-10-03 09:29:00,27562.51,27562.51,27545.38,27547.96,53.78,27599.81,27606.56,27641.73,27571.38,14.81,-7.350204345017119,27562.51,27562.51,27545.38,27547.96,53.78
1273,2023-10-03 09:30:00,27547.96,27563.04,27547.96,27557.83,30.37,27597.81,27605.04,27641.96,27568.12,26.42,-8.48712067368615,27547.96,27563.04,27547.96,27557.83,30.37
1274,2023-10-03 09:31:00,27557.82,27570.69,27557.82,27570.68,9.03,27596.32,27603.77,27640.93,27566.6,38.36,-8.960997522321122,27557.82,27570.69,27557.82,27570.68,9.03
1275,2023-10-03 09:32:00,27570.69,27579.73,27570.63,27579.72,31.15,27595.19,27602.67,27639.36,27565.98,45.18,-8.996121679731004,27570.69,27579.73,27570.63,27579.72,31.15
1276,2023-10-03 09:33:00,27579.73,27579.73,27572.01,27572.02,18.07,27593.61,27601.44,27638.04,27564.84,40.97,-9.308835683816142,27579.73,27579.73,27572.01,27572.02,18.07
1277,2023-10-03 09:34:00,27572.02,27572.02,27559.91,27559.91,21.79,27591.48,27600.05,27637.6,27562.51,35.31,-10.043302731086442,27572.02,27572.02,27559.91,27559.91,21.79
1278,2023-10-03 09:35:00,27559.92,27559.92,27555.31,27559.17,8.8,27589.39,27598.58,27636.65,27560.51,34.99,-10.697064600084559,27559.92,27559.92,27555.31,27559.17,8.8
1279,2023-10-03 09:36:00,27559.18,27571.04,27559.17,27571.03,20.75,27587.77,27597.71,27636.26,27559.15,43.93,-10.77466186084348,27559.18,27571.04,27559.17,27571.03,20.75
1280,2023-10-03 09:37:00,27571.04,27579.54,27571.03,27579.54,7.46,27586.37,27597.07,27635.76,27558.38,49.37,-10.473509961975651,27571.04,27579.54,27571.03,27579.54,7.46
1281,2023-10-03 09:38:00,27579.54,27588.01,27574.61,27585.83,68.32,27585.5,27596.56,27635.15,27557.97,53.05,-9.925097134590033,27579.54,27588.01,27574.61,27585.83,68.32
1282,2023-10-03 09:39:00,27585.84,27587.95,27585.83,27586.47,9.05,27584.74,27595.89,27633.99,27557.8,53.42,-9.383815370259981,27585.84,27587.95,27585.83,27586.47,9.05
1283,2023-10-03 09:40:00,27586.47,27586.47,27580.31,27580.32,12.55,27583.72,27595.12,27632.89,27557.36,49.29,-9.121240652762935,27586.47,27586.47,27580.31,27580.32,12.55
1284,2023-10-03 09:41:00,27580.31,27580.32,27568.16,27568.17,12.13,27582.19,27594.29,27632.56,27556.01,42.25,-9.346469847896515,27580.31,27580.32,27568.16,27568.17,12.13
1285,2023-10-03 09:42:00,27568.17,27570.5,27568.16,27570.49,13.35,27580.41,27593.5,27632.08,27554.92,43.92,-9.427509845139866,27568.17,27570.5,27568.16,27570.49,13.35
1286,2023-10-03 09:43:00,27570.5,27570.5,27563.48,27563.48,14.37,27578.34,27592.65,27631.98,27553.32,40.1,-9.752287535437063,27570.5,27570.5,27563.48,27563.48,14.37
1287,2023-10-03 09:44:00,27563.48,27567.54,27563.48,27567.53,6.78,27576.27,27591.84,27631.55,27552.14,43.21,-9.851656059185188,27563.48,27567.54,27563.48,27567.53,6.78
1288,2023-10-03 09:45:00,27567.54,27570.02,27567.53,27570.02,6.34,27574.56,27591.09,27631.0,27551.18,45.12,-9.812600000357634,27567.54,27570.02,27567.53,27570.02,6.34
1289,2023-10-03 09:46:00,27570.02,27570.2,27570.01,27570.2,5.12,27573.22,27590.34,27630.38,27550.3,45.27,-9.742747891083127,27570.02,27570.2,27570.01,27570.2,5.12
1290,2023-10-03 09:47:00,27570.19,27573.08,27570.19,27573.08,6.66,27571.99,27589.95,27630.28,27549.62,47.69,-9.538028215913073,27570.19,27573.08,27570.19,27573.08,6.66
1291,2023-10-03 09:48:00,27573.08,27584.12,27573.07,27584.11,5.85,27571.3,27589.73,27630.06,27549.39,55.84,-8.88893828181972,27573.08,27584.12,27573.07,27584.11,5.85
1292,2023-10-03 09:49:00,27584.12,27584.12,27584.11,27584.11,3.41,27571.3,27589.51,27629.84,27549.17,55.84,-8.2866448410241,27584.12,27584.12,27584.11,27584.11,3.41
1293,2023-10-03 09:50:00,27584.11,27584.12,27584.11,27584.12,13.1,27571.56,27589.03,27629.05,27549.02,55.85,-7.727265358487784,27584.11,27584.12,27584.11,27584.12,13.1
1294,2023-10-03 09:51:00,27584.11,27584.12,27575.01,27575.02,26.02,27571.56,27588.48,27628.48,27548.48,47.86,-7.570987113733281,27584.11,27584.12,27575.01,27575.02,26.02
1295,2023-10-03 09:52:00,27575.01,27575.02,27567.53,27567.53,10.3,27571.63,27587.73,27627.89,27547.58,42.41,-7.70924979328629,27575.01,27575.02,27567.53,27567.53,10.3
1296,2023-10-03 09:53:00,27567.53,27578.46,27567.53,27578.45,20.79,27572.27,27587.28,27627.33,27547.23,51.24,-7.374630722704751,27567.53,27578.46,27567.53,27578.45,20.79
1297,2023-10-03 09:54:00,27578.46,27582.42,27576.83,27576.84,22.82,27573.43,27586.62,27626.23,27547.01,50.01,-7.120397729133401,27578.46,27582.42,27576.83,27576.84,22.82
1298,2023-10-03 09:55:00,27576.83,27576.84,27576.83,27576.84,8.26,27574.19,27586.0,27625.22,27546.78,50.01,-6.874126812541363,27576.83,27576.84,27576.83,27576.84,8.26
1299,2023-10-03 09:56:00,27576.84,27576.84,27560.0,27560.01,44.17,27573.76,27585.04,27624.41,27545.66,38.49,-7.306916975536296,27576.84,27576.84,27560.0,27560.01,44.17
1300,2023-10-03 09:57:00,27560.0,27560.01,27552.87,27559.24,14.77,27572.94,27584.06,27623.54,27544.59,38.05,-7.701514166074048,27560.0,27560.01,27552.87,27559.24,14.77
1301,2023-10-03 09:58:00,27559.24,27560.0,27553.4,27553.41,14.04,27572.2,27582.9,27622.5,27543.31,34.78,-8.262861201070336,27559.24,27560.0,27553.4,27553.41,14.04
1302,2023-10-03 09:59:00,27553.41,27553.41,27550.0,27550.01,11.84,27571.8,27581.64,27621.32,27541.96,32.98,-8.873907963788952,27553.41,27553.41,27550.0,27550.01,11.84
1303,2023-10-03 10:00:00,27550.01,27553.4,27550.0,27553.4,13.16,27571.57,27580.48,27620.0,27540.96,36.56,-9.256565177482116,27550.01,27553.4,27550.0,27553.4,13.16
1304,2023-10-03 10:01:00,27553.4,27565.0,27553.39,27564.99,10.5,27571.33,27579.55,27618.28,27540.82,47.08,-9.108053740146715,27553.4,27565.0,27553.39,27564.99,10.5
1305,2023-10-03 10:02:00,27565.0,27568.28,27564.99,27568.27,7.82,27570.88,27578.62,27616.13,27541.12,49.66,-8.81926849174124,27565.0,27568.28,27564.99,27568.27,7.82
1306,2023-10-03 10:03:00,27568.27,27568.28,27565.99,27566.0,5.4,27570.08,27577.79,27614.52,27541.07,47.9,-8.627985682644066,27568.27,27568.28,27565.99,27566.0,5.4
1307,2023-10-03 10:04:00,27566.0,27605.8,27565.99,27594.32,74.48,27570.4,27577.57,27613.72,27541.41,64.86,-7.303802713635378,27566.0,27605.8,27565.99,27594.32,74.48
1308,2023-10-03 10:05:00,27594.33,27594.33,27592.67,27594.33,24.44,27570.96,27577.34,27612.92,27541.76,64.87,-6.105543770489021,27594.33,27594.33,27592.67,27594.33,24.44
1309,2023-10-03 10:06:00,27594.33,27594.33,27590.0,27590.01,7.46,27571.83,27577.01,27611.79,27542.24,61.25,-5.195337690624001,27594.33,27594.33,27590.0,27590.01,7.46
